上位のクエリ,クリック数,表示回数,CTR,掲載順位
whale store xoxo location,1,2,50%,1
it doesn't look like that.,1,1,100%,1
neolux studio อำเภอธัญบุรี,0,84,0%,6.68
"site:web.app ""無料ギフト"" ""ゲット"" -site:amazon.co.jp -site:amazon.com 
-site:amazonaws.com -site:aboutamazon.jp -site:primevideo.com",0,15,0%,6.47
your sky ハレのち恋 ロケ地,0,12,0%,74.33
neolux studio,0,10,0%,4.3
panee mango sticky rice,0,8,0%,8.62
wat weluwanaram,0,5,0%,7.8
liabduan danneramit night market,0,5,0%,11.2
ice cream samosorn,0,4,0%,7.75
bartels asok,0,3,0%,8.67
center point massage & spa (sukhumvit 24 branch),0,2,0%,6
pata plantation,0,2,0%,10
somewhere somehow,0,1,0%,2
อันนี้ที่ไหน,0,1,0%,3
gap,0,1,0%,5
exact place,0,1,0%,6
ถ่ายที่ไหนบ้าง,0,1,0%,6
assumption college english program rama ii campus,0,1,0%,7
liabduan danneramit,0,1,0%,7
バーテルズ アソーク,0,1,0%,10
site:web.app,0,1,0%,15
ジェニー バイ jvc 大阪市中央区東心斎橋,0,1,0%,23
ｂａｒ ｒｅｍｉｎｅ 結婚式,0,1,0%,50
