上位のページ,クリック数,表示回数,CTR,掲載順位
https://thai-series-map.web.app/,27,186,14.52%,8.88
https://thai-series-map.web.app/spot/vFyhfUhZWtAVJnVGA9mn/,4,13,30.77%,2.92
https://thai-series-map.web.app/?spot=2brjehwo4pYqBx3OXhqn,3,108,2.78%,8.88
https://thai-series-map.web.app/?spot=LOC002,2,121,1.65%,7.93
https://thai-series-map.web.app/spot/nrXT9aNX64CeANKOKAl2/,2,109,1.83%,6.8
https://thai-series-map.web.app/spot/LOC003/,2,10,20%,2.9
https://thai-series-map.web.app/spot/CIAeSggUor3IQnki1Vqh/,1,13,7.69%,5.54
https://thai-series-map.web.app/spot/wrDCw2DZptfNZrClbAkZ/,1,9,11.11%,3.67
https://thai-series-map.web.app/spot/3EfFBTD64ljCCInanmao/,1,5,20%,2.4
https://thai-series-map.web.app/spot/RPUPtchcpQ0QXwwNTuJ0/,1,5,20%,3.2
https://thai-series-map.web.app/spot/MgSeaqes0B4IUUwPDkkG/,0,20,0%,7.35
https://thai-series-map.web.app/spot/Z8LrON3zE14JTMBI4v2R/,0,16,0%,7.81
https://thai-series-map.web.app/spot/oQhnWWU78JgkJ4yBTBO8/,0,14,0%,6.43
https://thai-series-map.web.app/spot/RhOrLFhKRgF1iClIcybj/,0,10,0%,8
https://thai-series-map.web.app/spot/sfprbOvOnAO9DegqKcd7/,0,9,0%,4.22
https://thai-series-map.web.app/spot/hJEE4cd7AruVOC85vUOu/,0,9,0%,6.89
https://thai-series-map.web.app/spot/LOC004/,0,9,0%,7.78
https://thai-series-map.web.app/spot/lpCUAE3Gy4F1YpLDM04R/,0,9,0%,78.22
https://thai-series-map.web.app/spot/1utkbPskFJzH1Pv2XpMq/,0,7,0%,9
https://thai-series-map.web.app/spot/JZVaxNER8iinoKuuFiFf/,0,6,0%,10.5
https://thai-series-map.web.app/spot/AkTwrLz9619Vd3hXr2py/,0,5,0%,5.8
https://thai-series-map.web.app/spot/LOC013/,0,5,0%,6.2
https://thai-series-map.web.app/spot/5LeMVdDvDnD3xiaapxxU/,0,4,0%,4.75
https://thai-series-map.web.app/spot/LOC005/,0,4,0%,5.75
https://thai-series-map.web.app/spot/CwKq88zHEywtdZQXBgsa/,0,3,0%,8.67
https://thai-series-map.web.app/spot/PR7iR3vLOslcb0yhpcPU/,0,3,0%,10.67
https://thai-series-map.web.app/spot/aNaiz2WjLTSmC9MFd3C4/,0,2,0%,1.5
https://thai-series-map.web.app/spot/MTsFJSJ1rm4BxgMhb6B3/,0,2,0%,2
https://thai-series-map.web.app/spot/IyxwDHF2it1qhDgQYdwS/,0,2,0%,2.5
https://thai-series-map.web.app/spot/6phOyQ2tDxQ5Hobe5dXx/,0,2,0%,4.5
https://thai-series-map.web.app/spot/bMKtCXzpmTKF6X6niQl0/,0,2,0%,6
https://thai-series-map.web.app/spot/WNDkmxnzRNfWXb7Fth5n/,0,2,0%,6.5
https://thai-series-map.web.app/spot/r6W5vDHW7RAqfuAVyV6Y/,0,2,0%,7
https://thai-series-map.web.app/spot/4nBKq93euSjoPf1pXUrs/,0,2,0%,14
https://thai-series-map.web.app/spot/LOC006/,0,2,0%,44.5
https://thai-series-map.web.app/spot/Sb08tXOF8FjV03OgOPKN/,0,1,0%,2
https://thai-series-map.web.app/spot/0qOLkRnySrWJWRIgrAHP/,0,1,0%,4
https://thai-series-map.web.app/spot/LOC015/,0,1,0%,5
https://thai-series-map.web.app/spot/nDMqG5gYbkxtq8h9qh7W/,0,1,0%,5
https://thai-series-map.web.app/spot/EqW4iojZPLkzNrhM3MK3/,0,1,0%,7
https://thai-series-map.web.app/spot/deUgqzbdhAmAYxFGXCgD/,0,1,0%,7
https://thai-series-map.web.app/spot/ulSIWLwGxMUXsn1hvoI8/,0,1,0%,7
https://thai-series-map.web.app/spot/3MWOQYdc9Y9RGRwrj3EK/,0,1,0%,9
https://thai-series-map.web.app/spot/YDSLmVgK7fqDsRf7LcIK/,0,1,0%,9
