国,クリック数,表示回数,CTR,掲載順位
日本,29,251,11.55%,9.62
台湾,3,7,42.86%,5.71
フィリピン,2,24,8.33%,7
スペイン,2,2,100%,4.5
ブラジル,2,2,100%,5
タイ,1,226,0.44%,7.49
米国,1,59,1.69%,7.73
香港,1,7,14.29%,6
韓国,1,5,20%,5.4
シンガポール,0,15,0%,10.47
イギリス,0,11,0%,7.27
インド,0,8,0%,7.75
マレーシア,0,8,0%,12.25
ドイツ,0,7,0%,7.86
インドネシア,0,7,0%,9.14
オランダ,0,4,0%,6.25
メキシコ,0,4,0%,8.25
ロシア,0,3,0%,5.67
イタリア,0,3,0%,8
カナダ,0,2,0%,2.5
中国,0,2,0%,7
オーストラリア,0,2,0%,9.5
ウクライナ,0,2,0%,12
フランス,0,2,0%,13
トルコ,0,2,0%,43.5
ベトナム,0,2,0%,46.5
アラブ首長国連邦,0,1,0%,2
ペルー,0,1,0%,3
ポーランド,0,1,0%,3
バングラディッシュ,0,1,0%,5
ルクセンブルグ,0,1,0%,7
チュニジア,0,1,0%,7
アルバニア,0,1,0%,9
カタール,0,1,0%,9
ウルグアイ,0,1,0%,9
エジプト,0,1,0%,10
イラク,0,1,0%,10
チリ,0,1,0%,11
パキスタン,0,1,0%,15
モロッコ,0,1,0%,76
