日付,クリック数,表示回数,CTR,掲載順位
2026-07-15,0,0,,
2026-07-16,0,0,,
2026-07-17,2,4,50%,2
2026-07-18,2,7,28.57%,3.6
2026-07-19,2,3,66.67%,3.7
2026-07-20,3,6,50%,5
2026-07-21,1,3,33.33%,10
2026-07-22,2,3,66.67%,2.3
2026-07-23,0,2,0%,10.5
2026-07-24,1,3,33.33%,5.3
2026-07-25,0,3,0%,22.3
2026-07-26,0,2,0%,2.5
2026-07-27,0,5,0%,8
2026-07-28,0,14,0%,6.8
2026-07-29,0,12,0%,8.6
2026-07-30,0,7,0%,4.1
2026-07-31,0,23,0%,9.1
2026-08-01,0,18,0%,9
2026-08-02,2,16,12.5%,7.1
2026-08-03,0,11,0%,6.4
2026-08-04,1,16,6.25%,8.1
2026-08-05,2,18,11.11%,10.5
2026-08-06,1,11,9.09%,11.5
2026-08-07,0,10,0%,7.1
2026-08-08,0,23,0%,8
2026-08-09,0,103,0%,7
2026-08-10,5,47,10.64%,6.6
2026-08-11,2,36,5.56%,8.8
2026-08-12,3,27,11.11%,7.9
2026-08-13,0,22,0%,8.1
2026-08-14,0,15,0%,9.7
2026-08-15,4,19,21.05%,8.4
2026-08-16,2,18,11.11%,9.7
2026-08-17,1,15,6.67%,16.3
2026-08-18,0,12,0%,11.6
2026-08-19,1,18,5.56%,8.4
2026-08-20,1,7,14.29%,17.4
2026-08-21,1,14,7.14%,11.4
2026-08-22,2,12,16.67%,11.8
2026-08-23,1,24,4.17%,10.2
2026-08-24,0,22,0%,10.9
2026-08-25,0,20,0%,7.4
2026-08-26,0,17,0%,16.9
2026-08-27,0,13,0%,6.2
